ID,Case,Metric,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,Project 1,Production,170,172,235,240,245,250,248,246,240,230,220,200,180,160,140,120
1,Project 1,Revenue Generating Production,150,152,210,215,220,225,223,220,215,205,195,180,160,140,120,100
1,Project 1,Liquids Production,90,91,126,129,132,135,134,132,129,123,117,108,96,84,72,60
1,Project 1,Gas Production,60,61,84,86,88,90,89,88,86,82,78,72,64,56,48,40
1,Project 1,Gross Margin,1515,1372,2144,2576,2827,2894,2861,2944,2896,2839,2506,2344,2053,1807,1628,1439
1,Project 1,Cash Costs,-457,-489,-479,-521,-742,-853,-835,-891,-1034,-1041,-1131,-535,-632,-465,-882,-719
1,Project 1,DD&A,-1294,-1225,-1431,-1430,-1536,-1285,-1265,-1397,-1442,-1424,-1135,-923,-829,-716,-972,-1082
1,Project 1,EBITDA (Underlying),1058,883,1665,2055,2085,2041,2026,2053,1862,1798,1375,1809,1421,1342,746,720
1,Project 1,RCOP (Underlying),-236,-342,234,625,549,756,761,656,420,374,240,886,592,626,-226,-362
1,Project 1,Operating Cashflow,1058,883,1665,2055,2085,2041,2026,2053,1862,1798,1375,1809,1421,1342,746,720
1,Project 1,Cash Capex,-835,-1141,-982,-967,-1053,-1148,-558,-218,-192,-253,-261,-239,-241,-209,-357,-370
1,Project 1,Pre Tax Cash Flow,223,-258,683,1088,1032,893,1468,1835,1670,1545,1114,1570,1180,1133,389,350
